zero,one,two,three,four,five,six,seven,eight,nine
01b4757a_nohash_0.wav,01b4757a_nohash_0.wav,01b4757a_nohash_0.wav,037c445a_nohash_1.wav,01d22d03_nohash_1.wav,09bcdc9d_nohash_0.wav,037c445a_nohash_1.wav,01b4757a_nohash_0.wav,01b4757a_nohash_0.wav,01d22d03_nohash_1.wav
09bcdc9d_nohash_0.wav,05b2db80_nohash_1.wav,09bcdc9d_nohash_0.wav,09bcdc9d_nohash_0.wav,05b2db80_nohash_1.wav,0ab3b47d_nohash_2.wav,05b2db80_nohash_1.wav,11321027_nohash_0.wav,037c445a_nohash_1.wav,037c445a_nohash_1.wav
10467b06_nohash_1.wav,09bcdc9d_nohash_0.wav,1706c35f_nohash_2.wav,0b40aa8e_nohash_1.wav,09bcdc9d_nohash_0.wav,10467b06_nohash_1.wav,09bcdc9d_nohash_0.wav,14775481_nohash_1.wav,05b2db80_nohash_1.wav,037c445a_nohash_2.wav
11321027_nohash_0.wav,0b40aa8e_nohash_1.wav,17c94b23_nohash_0.wav,17c94b23_nohash_0.wav,17c94b23_nohash_0.wav,1942abd7_nohash_0.wav,0b40aa8e_nohash_1.wav,17c94b23_nohash_0.wav,10467b06_nohash_1.wav,11321027_nohash_0.wav
17c94b23_nohash_0.wav,11321027_nohash_0.wav,1a6eca98_nohash_0.wav,1942abd7_nohash_0.wav,1a6eca98_nohash_0.wav,1ecfb537_nohash_2.wav,11321027_nohash_0.wav,1942abd7_nohash_0.wav,11321027_nohash_0.wav,17c94b23_nohash_0.wav
1942abd7_nohash_0.wav,1b88bf70_nohash_0.wav,1cb788bc_nohash_0.wav,1a6eca98_nohash_0.wav,1b88bf70_nohash_0.wav,325a0c39_nohash_0.wav,17c94b23_nohash_0.wav,1b88bf70_nohash_0.wav,17c94b23_nohash_0.wav,1942abd7_nohash_0.wav
1ecfb537_nohash_2.wav,1cb788bc_nohash_0.wav,1ecfb537_nohash_2.wav,1ecfb537_nohash_2.wav,1cb788bc_nohash_0.wav,3852fca2_nohash_0.wav,1942abd7_nohash_0.wav,1ecfb537_nohash_2.wav,1b88bf70_nohash_0.wav,1a6eca98_nohash_0.wav
1fd85ee4_nohash_0.wav,1ecfb537_nohash_2.wav,2643992f_nohash_0.wav,2643992f_nohash_0.wav,1ecfb537_nohash_2.wav,48bdc11c_nohash_0.wav,1a6eca98_nohash_0.wav,2643992f_nohash_0.wav,1ecfb537_nohash_2.wav,1cb788bc_nohash_0.wav
2643992f_nohash_0.wav,1fd85ee4_nohash_0.wav,300384f0_nohash_3.wav,28ce0c58_nohash_6.wav,3852fca2_nohash_0.wav,520b2c17_nohash_2.wav,1cb788bc_nohash_0.wav,28ce0c58_nohash_6.wav,3852fca2_nohash_0.wav,1ecfb537_nohash_2.wav
325a0c39_nohash_0.wav,3852fca2_nohash_0.wav,325a0c39_nohash_0.wav,325a0c39_nohash_0.wav,4422e51d_nohash_0.wav,5828dfa2_nohash_1.wav,1ecfb537_nohash_2.wav,44b5720d_nohash_0.wav,48bdc11c_nohash_0.wav,1fd85ee4_nohash_0.wav
